Type,Residuals
Train,58.01914889292493
Train,-334.31645337407554
Train,470.5126307405444
Train,527.1380473227355
Train,-534.294159412515
Train,-194.62706036058262
Train,189.6167799983159
Train,598.4929945545555
Train,-599.6518351008235
Train,-182.87930439798856
Train,186.5967315516973
Train,-300.03940697232974
Train,-399.08020883170593
Train,217.25800554594025
Train,-49.20571464459135
Train,-352.92012865975266
Train,1005.9551257455169
Train,-879.5021456652357
Train,48.45084911589856
Train,-420.5956009507445
Train,82.10659006434798
Train,93.89920655324295
Train,250.92590351285253
Train,-265.9727094178743
Train,-271.51154441695326
Train,441.0459746826982
Train,-271.28880423500595
Train,-17.70677833447553
Train,-116.4564499504495
Train,-65.23922105698148
Train,-311.1727699319881
Train,-27.159851407046517
Train,596.8863212903307
Train,-511.19049166421973
Train,-17.669891768933667
Train,317.3668559632588
Train,438.3026195844377
Train,-52.98595739002667
Train,312.2210306973616
Train,-172.15201293658174
Train,117.12994818201696
Train,-163.93795763123399
Train,-349.1632450411216
Train,711.2694106395065
Train,620.0804632859345
Train,-220.20906155942066
Train,-289.60578480214554
Train,30.05775826534955
Train,-170.1762813958021
Train,158.2087568978477
Train,-350.02147870407407
Train,-231.49285747937756
Train,-308.9126758134262
Train,-587.4378972093582
Train,-423.2232186357123
Train,594.6372329264632
Train,51.45071715067024
Train,-342.54980494747815
Train,-216.38069496364733
Train,-193.5485331007203
Train,305.4047915417955
Train,279.7639094336555
Train,-21.761404536360715
Train,-149.02364172549278
Train,-111.56462892164018
Train,383.145891851178
Train,24.215291715449894
Train,-266.4899034709888
Train,-614.290161457775
Train,-273.461171316485
Train,-399.72116809603676
Train,420.20276118605034
Train,-461.38485064568886
Train,-308.2368791523186
Train,-239.9195381648051
Train,-288.77423244167403
Train,-39.70251375598309
Train,-137.42301475767
Train,320.363828305286
Train,400.59761368975705
Train,735.1898168317603
Train,354.4965476997222
Train,309.32350525283255
Train,-309.9838485363325
Train,-571.0494331412519
Train,-319.58097540868766
Train,238.84945440515366
Train,165.3427652321334
Train,-431.45524018249944
Train,56.05661242830956
Train,211.58653011150545
Train,374.4755214470206
Train,-246.65206471591955
Train,-143.58801652515194
Train,37.677124765550616
Train,-37.55658297761693
Train,74.93190542036245
Train,274.76150001801534
Train,150.41065364528004
Train,532.889475949647
Train,-49.22396573298647
Train,-774.3814874799173
Train,-343.41069923896794
Train,470.27875702600613
Train,61.80687706333629
Train,430.06120025809287
Train,-401.6697223314686
Train,-400.74457139767947
Train,-268.6008787419323
Train,-906.8112738279269
Train,367.8169774555463
Train,393.69932973355935
Train,-274.4339637793073
Train,166.88382657394322
Train,-139.22350087106224
Train,8.284099722774044
Train,357.9384718295114
Train,-395.5709465664786
Train,-584.0821629920028
Train,-84.8466853868922
Train,179.75063678449078
Train,-24.235181677253422
Train,429.02787093748884
Train,151.9846627414572
Train,132.47607972699552
Train,692.3620648519372
Train,-660.210918615765
Train,370.19685027784
Train,397.3220961987363
Train,-331.19052339645714
Train,-381.82838623476346
Train,175.9806558491
Train,-160.74405923903305
Train,-368.0920190946308
Train,-376.14114190535474
Train,-505.7706388626357
Train,594.2445915260578
Train,301.98557728452033
Train,-419.48758673878183
Train,196.2034347951094
Train,-754.8664682086746
Train,375.86697816891865
Train,-529.6973416995279
Train,229.77627114673305
Train,-364.1843355863248
Train,548.9745930912577
Train,271.54813864120297
Train,-321.81782566440233
Train,445.87456522247703
Train,79.46426767316098
Train,-334.94197633775457
Train,181.34385023067898
Train,266.0451718434997
Train,235.87429529544897
Train,-181.36354635481894
Train,163.7978503807335
Train,-589.3589809611403
Train,-489.64791036505267
Train,-64.48837628632191
Train,346.24199865790797
Train,-387.8501801535713
Train,211.54217056483503
Train,168.8227904021769
Train,-232.5446066778095
Train,-736.3088024537938
